country_name,region,happiness_score,log_gdp_per_capita,social_support,life_expectancy,freedom,generosity,perception_of_corruption
Tanzania,Africa,3.69379997253418,7.857411861419678,0.652874767780304,59.401485443115234,0.8379266262054443,0.1819900274276733,0.5538731813430786
Thailand,Asia & Pacific,5.8429999351501465,9.751472473144531,0.8735074400901794,68.44964599609375,0.8503376245498657,0.288653165102005,0.9103906750679016
Togo,Africa,4.137400150299072,7.673266410827637,0.5953555107116699,57.44898223876953,0.6574302911758423,0.0240082331001758,0.7398090958595276
Tunisia,Arab States,4.496699810028076,9.24356746673584,0.7297623753547668,67.00008392333984,0.5764917731285095,-0.2126037180423736,0.9067373871803284
Turkiye,Europe,4.613500118255615,10.30681324005127,0.7957817316055298,68.6626968383789,0.4753239154815674,-0.0770171359181404,0.7948973774909973
Uganda,Africa,4.432499885559082,7.715771675109863,0.7940431237220764,58.91272735595703,0.7012752890586853,0.1137360781431198,0.8572147488594055
Ukraine,Europe,5.071400165557861,9.313715934753418,0.8775262236595154,64.5501708984375,0.7954239845275879,0.2403110712766647,0.9067386388778688
United Arab Emirates,Middle east,6.571199893951416,11.145174026489258,0.825512707233429,66.24315643310547,0.9417835474014282,0.0956914871931076,0.5837928652763367
United Kingdom,Europe,6.795599937438965,10.70424461364746,0.8822047114372253,70.30000305175781,0.8521915674209595,0.2533075213432312,0.4540797472000122
United States,North America,6.893700122833252,11.04824924468994,0.9191621541976928,65.85025024414062,0.8004881143569946,0.1365049034357071,0.6885946989059448
Uruguay,South/Latin America,6.493899822235107,10.03650951385498,0.9132089614868164,67.5,0.8952000141143799,-0.0646173283457756,0.574579119682312
Uzbekistan,Asia & Pacific,6.0142998695373535,8.948406219482422,0.874754011631012,65.3005142211914,0.9379149079322816,0.2295317649841308,0.6381723880767822
Venezuela,South/Latin America,5.210599899291992,5.526723384857178,0.8388254046440125,64.04983520507812,0.6587069630622864,0.1283712387084961,0.8114349842071533
Vietnam,Asia & Pacific,5.763299942016602,9.286938667297363,0.8211429715156555,65.5024185180664,0.938640594482422,-0.0036427439190447,0.7588440775871277
Zambia,Africa,3.982199907302856,8.073851585388184,0.6935360431671143,55.03213882446289,0.7908714413642883,0.0983889028429985,0.8175567388534546
Zimbabwe,Africa,3.2035000324249268,7.640997886657715,0.6899175047874451,54.04988861083984,0.6540554761886597,-0.0462302304804325,0.7655823230743408
